Unnamed: 0;Name;Diet Label;Cuisine Label;Fat Label;Price Label;Images;personas
161;Potatoes Tapas in Garlic Mayonnaise (Potatoes Aioli);Vegetarian;European;Low Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/1/ZDQGnHD7T6y1qbcy5HxK_DSC_0665.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/1/bGZIkSdZQySHt9FSYaFG_DSC_0661.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/1/hCDvsiS5eJ62vnH7l1Mw_DSC_0666.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/1/picXAbFmF.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/21/1/pichoVubc.jpg"")";Green Health Freak
162;Spaetzle - Basic Recipe - Art Culinaire Issue;No Label;European;Low Fat;High Price;character(0);None
163;Home-Style Meatballs (Albondigas Caseras);No Label;European;High Fat;High Price;character(0);Fat Craver
164;Fat-Free Fettuccine Alfredo;No Label;European;High Fat;High Price;character(0);Fat Craver
165;Lemon Chicken;Meat;European;High Fat;Low Price;character(0);Fat Craver
166;Ham and Cheese Pockets;No Label;American;Low Fat;High Price;character(0);None
167;Super Sandwich;No Label;European;Low Fat;High Price;character(0);None
168;Yellow Squash Puffs;No Label;American;Low Fat;Low Price;character(0);None
169;Sun-Dried Tomato Pesto;No Label;European;Low Fat;Low Price;character(0);None
170;Linda'a Guadalajara - Style Burritos;No Label;American;Low Fat;High Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/V4O52EGNQlCwno2EDOa4_zucchinnibread3%20(1%20of%201).jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/2rp90sY9Q96l93ATXIsR_zucchinnibread1%20(1%20of%201).jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/220/WgGTZM7mSLeMEnLraslw_IMG_4717.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/picuHKLvl.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/pic0sEwXu.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/ox0bM5LFTvamSUZZrvGJ_zucchinnibread2%20(1%20of%201).jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/zrkZ5Dc3RdyIotK1LwV7_IMG_4718.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/NiKUyiO5Tt2T3IQzUpRi_IMG_4717.JPG"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/Odj8qst8T1eVOImGOCWg_image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/pic6dBbjd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/picVl9WPD.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/picAqmOmd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/0/picdChvnL.jpg""
)";None
171;Spaetzle - Hungarian;No Label;European;High Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/1/picmE4uiZ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/1/picjXaLFo.jpg"")";Fat Craver
172;Spaetzle - German;No Label;European;High Fat;Low Price;character(0);Fat Craver
173;Calzones;No Label;American;High Fat;Low Price;character(0);Fat Craver
174;Whole Wheat Calzone;Meat;European;High Fat;Low Price;"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/4/picgOJlqk.jpg""";Fat Craver
175;Chicken and Sausage;Meat;European;Low Fat;High Price;character(0);None
176;Moussaka;No Label;European;High Fat;Low Price;character(0);Fat Craver
177;Linda's Tuna Burritos;No Label;American;Low Fat;Low Price;"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/7/picUibSRC.jpg""";None
178;Cheesy Manicotti;No Label;European;Low Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/8/picky2WNd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/8/picABRvk5.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/8/picDRN1ws.jpg"")";None
179;Chili Non Carne;No Label;American;Low Fat;Low Price;"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/9/picKWjzxr.jpg""";None
180;Tomato Salad;No Label;American;Low Fat;High Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/0/picnPKYOC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/0/picUzP7gL.jpg"")";None
181;Vidalia Onion, Tomato and Basil Salad;Vegetarian;European;High Fat;Low Price;character(0);Green Health Freak
182;Calzones II;No Label;European;Low Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/2/picoZjAEx.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/2/picf5rb8B.jpg"")";None
183;Tamarillo Steak Casserole;No Label;American;High Fat;Low Price;character(0);Fat Craver
184;Fha Chicken Chilies Casserole;Meat;American;Low Fat;Low Price;character(0);None
185;Apricot Chicken Casserole;Meat;African;Low Fat;High Price;character(0);None
186;Gado Gado: Indonesian Salad;No Label;Asian;High Fat;High Price;character(0);Fat Craver
187;Greek Lemon Potatoes;Vegetarian;European;Low Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/8/picWtSDwE.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/8/picfXlOXE.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/8/picKpI8DV.jpg"")";Green Health Freak
188;Pastitsio;No Label;European;High Fat;High Price;"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/0/picvBXFwb.jpg""";Fat Craver
189;Summer Corn and Tomato Pasta;Vegetarian;American;Low Fat;Low Price;character(0);Green Health Freak
